	en_entry	ar	pos	no_en_entry
0	absolute_3_A	مطلق	A	0
1	afghani_1_N	أفغاني	N	0
2	arabic_A	عربي	A	0
3	assyrian_2_N	آشوري	N	0
4	ban_2_N	منع	N	0
5	belarusian_N	بيلاروسي	N	0
6	birr_1_N	بير	N	0
8	bulgarian_N	بلغارية	N	0
9	chairman_N	رئيس	N	0
10	chinese_N	صينىة	N	0
11	christianity_1_N	نصرانية	N	0
12	communist_A	شيوعي	A	0
13	constitutional_2_A	دستوري	A	0
14	current_A	حاضر	A	0
15	dari_N	دارية	N	0
16	decline_1_N	انخفاض	N	0
17	democratic_1_A	ديمقراطي	A	0
18	designate_4_V2	عين	V	0
19	dutch_N	هولندي	N	0
20	flaw_3_N	عيب	N	0
21	flour_N	دقيق	N	0
22	former_3_A	سابق	A	0
23	french_N	فرنسية	N	0
24	hotel_N	فندق	N	0
25	human_N	إنسان	N	0
26	hybrid_A	هجين	A	0
27	income_N	دخل	N	0
30	inequality_N	عدم المساواة	CN	0
59	inequality_N	مساواة	N	1
31	italian_N	ايطالية	N	0
32	latvian_N	لاتفية	N	0
33	leader_1_N	قائد	N	0
34	low_1_A	قليل	A	0
35	military_2_A	عسكري	A	0
36	monarchy_N	ملكية	N	0
37	mother_1_N	أم	N	0
38	muslim_A	مسلم	A	0
39	north_3_N	شمال	N	0
40	official_3_A	رسمي	A	0
41	orthodox_3_A	أرثوذكسية	A	0
42	parliamentary_2_A	برلماني	A	0
43	presidentFem_3_N	رئيس	N	0
44	queen_2_N	ملكة	N	0
45	regent_1_N	وصي	N	0
46	religion_2_N	دين	N	0
47	russian_N	روسية	N	0
48	spanish_N	أسبانية	N	0
49	starch_1_N	نشاء	N	0
50	succeed_V2	نجح	V	0
51	terrorist_N	ارهابي	N	0
52	thai_N	تايلاندية	N	0
55	turkish_N	تركية	N	0
56	water_1_N	ماء	N	0
57	world_1_N	عالم	N	0
58	yen_2_N	ين	N	0
