# P31
# instance of
1,instance,instance,NOUN,NN,0,root
2,of,of,ADP,IN,1,nmod[case]

# P47
# shares border with
1,shares,share,NOUN[VERB],NNS[VBZ],2[0],compound[root]
2,border,border,NOUN,NN,0[1],root[obj]
3,with,with,ADP,IN,2[1],nmod[mark]

# P69
# educated at
1,educated,educate,VERB,VBN,0,root
2,at,at,ADP,IN,1,obl[compound:prt]

# P78
# top-level Internet domain
1,top,top,ADJ,JJ,3,amod[compound]
2,-,-,PUNCT,HYPH,3,punct
3,level,level,NOUN,NN,5,compound
4,Internet,internet,NOUN,NN,5,compound
5,domain,domain,NOUN,NN,0,root

# P81
# connecting line
1,connecting,connect,VERB,VBG,0[2],root[amod]
2,line,line,NOUN,NN,1[0],obj[root]

# P88
# commissioned by
1,commissioned,commission,VERB,VBN,0,root
2,by,by,ADP,IN,1,obl[compound:prt]

# P112
# founded by
1,founded,found,VERB,VBN,0,root
2,by,by,ADP,IN,1,obl[compound:prt]

# P121
# item operated
1,item,item,NOUN,NN,0[2],root[nsubj]
2,operated,operate,VERB,VBN,1[0],acl[root]

# P126
# maintained by
1,maintained,maintain,VERB,VBN,0,root
2,by,by,ADP,IN,1,obl[compound:prt]

# P127
# owned by
1,owned,own,VERB,VBN,0,root
2,by,by,ADP,IN,1,obl[compound:prt]

# P128
# regulates (molecular biology)
1,regulates,regulate,VERB[NOUN],VBZ[NNS],0,root
2,(,(,PUNCT,-LRB-,4,punct
3,molecular,molecular,ADJ,JJ,4,amod
4,biology,biology,NOUN,NN,1,obj[appos]
5,),),PUNCT,-RRB-,4,punct

# P138
# named after
1,named,name,VERB,VBN,0,root
2,after,after,ADP,IN,1,obl[mark]

# P141
# IUCN conservation status
1,IUCN,IUCN,PROPN[ADJ],NNP[JJ],3,compound[amod]
2,conservation,conservation,NOUN,NN,3,compound
3,status,status,NOUN,NN,0,root

# P144
# based on
1,based,base,VERB,VBN,0,root
2,on,on,ADP,IN,1,obl[fixed]

# P156
# followed by
1,followed,follow,VERB,VBN,0,root
2,by,by,ADP,IN,1,obl[compound:prt]

# P157
# killed by
1,killed,kill,VERB,VBN,0,root
2,by,by,ADP,IN,1,obl[compound:prt]

# P161
# cast member
1,cast,cast,VERB[NOUN],VB[NN],0[2],root[compound]
2,member,member,NOUN,NN,1[0],obj[root]

# P180
# depicts
1,depicts,depict,VERB[NOUN],VBZ[NNS],0,root

# P183
# endemic to
1,endemic,endemic,ADJ,JJ,0,root
2,to,to,PART[ADP],TO[IN],1,advcl[mark]

# P190
# twinned administrative body
1,twinned,twin[twinned],VERB[ADJ],VBN[JJ],3,amod
2,administrative,administrative,ADJ,JJ,3,amod
3,body,body,NOUN,NN,0,root

# P206
# located in or next to body of water
1,located,locate,VERB,VBN,0,root
2,in,in,ADP,IN,1[6],obl[case]
3,or,or,CCONJ,CC,4,cc
4,next,next,ADV,RB,2,conj
